prompt	completion
JPEG는 손실 데이터 압축 알고리즘을 사용하는데, 이는 JPEG 파일에서 복구된 이미지가 원본 이미지와 정확히 동일하지 않다는 것을 의미한다; 일부 정보가 손실되었다.	JPEG는 손실 데이터 압축 알고리즘을 사용한다. 따라서 JPEG 파일을 복원한 이미지는 일부 정보를 빠뜨리므로 원본 이미지와 똑같지 않다.
스파크는 스칼라(Scala)로 작성되었는데, 이는 강력한 함수형 특성을 가지고 있으며 JVM(Java Virtual Machin, 자바 가상 머신)으로 컴파일된다.	스파크는 기능적인 측면이 강하고 자바 가상 머신(JVM)용으로 컴파일되는 언어인 스칼라(Scala)로 작성되었다.
이 설문조사 결과는 청소년 언어 개선책을 시급히 마련해야 한다는 점을 말해 주고 있다.	청소년 언어 개선책을 시급히 마련해야 한다는 점을 이 설문조사 결과에서 알 수 있다.
애완동물은 많은 보살핌과 관심을 필요로 한다.	애완동물에게는 많은 보살핌과 관심이 필요하다.
보들레르의 작품에 들어 있는 알레고리적인 것을 연구할 때 바로크적 요소에 너무 주목한 나머지 중세적 요소를 간과하는 것은 오류일 것이다.	보들레르 작품의 알레고리적인 것을 연구할 때 바로크적 요소에 너무 주목한 나머지 중세적 요소를 간과함은 오류다.
사유재산이 우리를 너무나 어리석고 무기력하게 만들었기 때문에 어떤 사물은 오직 그것을 소유할 때만 비로소, 그러니까 우리를 위한 자본으로 존재할 때 또는 우리에 의해 사용될 때라야 비로소 우리 것이 된다.	사유재산이 우리를 너무나 어리석고 무기력하게 만들었기에, 어떤 사물은 오직 그것을 소유할 때만, 즉 우리를 위한 자본으로 존재할 때 또는 우리가 사용할 때라야 우리 것이 된다.
조회할 내용이 없는 것으로 판단합니다.	조회할 내용이 없다고 판단합니다.
수십 년에 걸쳐 분리뇌를 연구한 결과, 두 뇌가 전문적으로 담당하는 기능을 밝혀냈을 뿐 아니라 각 뇌 안에서 이루어지는 전문화 과정에 대해 통찰력도 제공했다.	수십 년에 걸친 분리뇌 연구로, 양쪽 뇌는 각각 분화된 기능을 담당한다는 사실이 밝혀졌을 뿐 아니라 각각의 뇌에서 일어나는 분화에 대해서도 더 깊이 이해하게 되었다.
애착은 물건, 사람, 활동, 견해나 느낌에 대한 정신과 정서(일반적인 강박)의 연결이며 이 연결이 독특하고 영구적인 방식으로 쾌락, 보안, 자아실현을 제공할 것이라는 비이성 논리에서 유래되었다.	애착은 사물, 사람, 활동, 개념 혹은 감정에 대한 정신적, 정서적(일반적으로 강박적) 유대로, 이러한 유대를 통해 고유하고도 영구적인 방식으로 기쁨과 안정을 얻고 자아실현을 이룰 수 있을 것이라는 비이성적인 믿음에서 비롯되었다.
그들은 훌륭한 교사란 자신만이 아이들을 훈육할 수 있고 다른 사람들은 할 수 없다고 생각한다.	그들은 그것이 자신이 훌륭한 교사임을 보여주는 증거라고 생각한다. 자신은 아이들을 잘 통제하는데 다른 사람은 그러지 못한다면서.
