구분,분류,용어,설명
리스크,리스크 개요,리스크(Risk),미래수익 또는 자산가치 변동의 불확실성(Uncertainty)으로 인하여 보유자산에서 손실이 발생할 가능성(신용  시장  금리  유동성리스크 등) 또한 부적절하거나 잘못된 내부절차  시스템 오류  직원의 실수·고의 또는 자연재해 등의 사건에 의해 손실이 발생할 가능성 (운영리스크 등)
리스크,리스크 개요,불확실성,설사 손실이 발생한다 해도 발생될 것이 확실하고 크기(금액)도 확실히 알 수 있어서 회피 또는 수용하기로 의사결정하고 나면 그것은 더 이상 리스크가 아님
리스크,리스크 개요,손실발생 가능성,미래의 불확실성에 따라 손실이 발생할 수 있는 경우로  이익이 발생할 수 있는 경우는 리스크로 인식하지 않음
리스크,리스크 개요,통제불가능성,자유롭게 통제할 수 없는 경우만 리스크로 인식
리스크,리스크 개요,리스크(Risk) 관리,은행은 적절한 수준의 리스크를 부담함으로써 이익을 획득하는 기관으로  은행의 경영 건전성을 손상시키지 않도록 영업상 직면하게 되는 리스크를 적정수준으로 유지·통제하는 활동을 말함
리스크,리스크 개요,리스크와 자본,은행은 리스크가 실제 손실로 실현되면 보유한 자본으로 해당손실을 충당하여야 함 미래에 발생할 가능성이 있는 모든 유형의 손실 합계가 은행의 자본보다 작아야 하며 그렇지 않으면 부채를 갚지 못해 계속기업으로 생존할 수가 없음 따라서 리스크관리 측면에서 보면 자본은 리스크에 대비하기 위하여 보유하는 마지막 대응수단(Buffer)으로서  손실흡수 기능을 한다고 볼 수 있음
리스크,리스크 개요,리스크의 종류,리스크는 크게 계량리스크와 비계량리스크로 구분됨. 계량리스크는 통계적기법을 통해 특정 수치로 표현 할 수 있는 리스크를 말하며  계량리스크 이외의 모든 리스크 유형을 비계량리스크라고 함
리스크,리스크 개요,신용리스크,거래상대방의 상환 또는 결제의무 불이행으로 약정채권을 정상적으로 회수하지 못하거나  대지급 등에 따라 손실이 발생할 가능성 (대출을 받아 간 업체나 개인이 대출금을 갚지 않아 손실이 발생할 가능성 등)
리스크,리스크 개요,시장리스크,시장지표(금리  주가  환율 등)가 불리한 방향으로 변동할 경우 트레이딩 포지션에서 손실이 발생할 가능성 (은행이 보유한 주식이나 채권의 가격이 하락하여 손실이 발생할 가능성)
리스크,리스크 개요,금리리스크,금리의 불리한 변동에 따라 은행의 순자산가치나 순이자이익이 감소하여 손실이 발생할 가능성 (금리가 변할 경우 대출금리와 예금금리가 동일한 시점에 동일한 수준으로 변경되지 않게 되면 은행의 수익이 줄어들 수 있 는 가능성)
리스크,리스크 개요,유동성리스크,자금운용과 조달기간의 불일치 또는 예기치 못한 자금유출 등으로 지급불능 상태에 직면하거나  자금의 과부족을 해소하기 위하여 비정상적 고금리 조달 또는 보유자산의 불리한 매각 등으로 손실이 발생할 가능성 (예금을 지급하기 위해 보유자산을 급하게 처분하는 과정에서 발생하는 손실 가능성 등)
리스크,리스크 개요,운영리스크,부적절하거나 잘못된 내부절차  시스템 오류  직원의 실수·고의 또는 자연재해 등의 사건에 의해 손실이 발생할 가능성 (대출을 취급하는 과정에서 은행직원의 실수나 고의로 입을 수 있는 손실 가능성)
리스크,리스크 개요,신용편중리스크,은행의 자본  총자산 또는 전반적인 리스크수준과 비교하여 개별기업 또는 계열에 대하여 과다한 익스포저를 보유함으로서 손실이 발생할 가능성 (특정업체에 대출이 편중되어 부도 발생시 큰 손실이 발생할 가능성 등)
